p,t
rdf,!(mp)~ GO.DOWN(Verb)
axfn,HARM
iqranf,he~ will~ MEET(Verb) ~us
ebaim,the~ COME(Verb) ~ing(mp)
emcbir,the~ make~ EXCHANGE(Verb) ~ing(ms)
eclij,the~ GOVERNOR
qcft,HARD ~s
fitnkr,and~ he~ will~ self~ RECOGNIZE(Verb)
fikrm,and~ he~ will~ make~ RECOGNIZE(Verb) ~them(m)
ekref,they~ will~ RECOGNIZE(Verb) ~him
mrglim,much~ TREAD.ABOUT(Verb) ~ing(mp)
fobdik,and~ SERVANT ~s ~you(ms)
obdik,SERVANT ~s ~you(ms)
knim,BASE ~s
nhnf,WE
klnf,ALL ~us
feahd,and~ the~ UNIT
alkm,TO ~you(mp)
ahikm,BROTHER ~you(mp)
bbfa,>~ COME(Verb)
tsaf,you(mp)~ will~ GO.OUT(Verb)
tbhnf,you(mp)~ will~ be~ WATCH.OVER(Verb)
dbrikm,WORD ~s ~you(mp)
fibhnf,and~ they(m)~ will~ be~ WATCH.OVER(Verb)
eaxrf,!(mp)~ be~ TIE.UP(Verb)
mkm,from~ ~you(mp)
clhf,!(mp)~ SEND(Verb)
mcmr,CUSTODY
fhif,and~ !(mp)~ LIVE(Verb)
btikm,200 HOUSE ~s ~you(mp)
robfn,FAMINE
ebiaf,!(mp)~ make~ COME(Verb)
mcmrkm,CUSTODY ~you(mp)
iaxr,he~ will~ be~ TIE.UP(Verb)
tmftf,you(mp)~ will~ DIE(Verb)
fiamnf,and~ they(m)~ will~ be~ SECURE(Verb)
tbiaf,you(mp)~ will~ make~ COME(Verb)
esre,the~ PERSECUTION
bethnnf,in~ >~ self~ PROVIDE.PROTECTION(Verb) ~him
srt,PERSECUTION
acmim,GUILT ~s
ndrc,be~ SEEK(Verb) ~ing(ms)
cmotm,you(mp)~ did~ HEAR(Verb)
bild,in~ the~ BOY
thjaf,you(mp)~ will~ FAIL(Verb)
bintm,BETWEEN ~them(m)
emlis,the~ make~ MIMIC(Verb) ~ing(ms)
loiniem,to~ EYE ~s2 ~them(m)
fiaxr,and~ he~ will~ TIE.UP(Verb)
matm,from~ AT ~them(m)
moliem,from~ UPON ~them(m)
fixb,and~ he~ will~ GO.AROUND(Verb)
ldrk,to~ the~ ROAD
sde,PROVISIONS
fltt,and~ to~ >~ GIVE(Verb)
cqf,SACK ~him
kxpiem,SILVER ~s ~them(m)
flecib,201 and~ to~ >~ make~ TURN.BACK(Verb)
kliem,UTENSIL ~them(m)
cbrm,GRAIN.SEEDS ~them(m)
amthtf,GRAIN.SACK ~him
bpi,in~ MOUTH
bmlfn,in~ the~ PLACE.OF.LODGING
lhmrf,to~ DONKEY ~him
fihrdf,and~ they(m)~ will~ TREMBLE(Verb)
lbm,HEART ~them(m)
bamthti,in~ GRAIN.SACK ~me
kxpi,SILVER ~me
efcb,he~ did~ be~ make~ TURN.BACK(Verb)
eqrt,the~ MEET(Verb) ~ing(fp)
figidf,and~ they(m)~ will~ make~ BE.FACE.TO.FACE(Verb)
kmrglim,like~ much~ TREAD.ABOUT(Verb) ~ing(mp)
eiinf,we~ did~ EXIST(Verb)
feqjn,and~ the~ SMALL
qhf,!(mp)~ TAKE(Verb)
enihf,!(mp)~ make~ REST(Verb)
txhrf,you(mp)~ will~ TRADE(Verb)
fadoe,and~ I~ will~ KNOW(Verb) ~&
febiaf,and~ !(mp)~ make~ COME(Verb)
fabiem,and~ FATHER ~them(m)
srrft,POUCH ~s
bcqf,in~ SACK ~him
srfr,POUCH
cqiem,SACK ~s ~them(m)
mriqim,make~ DRAW.OUT(Verb) ~ing(mp)
klne,ALL ~them(f)
bnimn,Binyamin
ckltm,you(mp)~ will~ much~ BE.CHILDLESS(Verb)
acibnf,I~ will~ make~ TURN.BACK(Verb) ~him
abianf,I~ will~ make~ COME(Verb) ~him
tmit,you(ms)~ will~ make~ DIE(Verb)
cafle,UNDERWORLD ~unto
bigfn,in~ SORROW
cibti,GRAY-HEADED ~me
fefrdtm,and~ you(mp)~ did~ make~ GO.DOWN(Verb)
tlkf,you(mp)~ will~ WALK(Verb)
fqraef,and~ he~ did~ MEET(Verb) ~him
ncar,be~ REMAIN(Verb) ~ing(ms)
cbrf,!(mp)~ EXCHANGE(Verb)
ecbr,the~ GRAIN.SEEDS
traf,you(mp)~ will~ SEE(Verb)
eod,he~ did~ make~ WRAP.AROUND(Verb)
fncbre,and~ we~ will~ EXCHANGE(Verb) ~&
mclh,much~ SEND(Verb) ~ing(ms)
nrd,we~ will~ GO.DOWN(Verb)
erotm,you(mp)~ did~ make~ BE.DYSFUNCTIONAL(Verb)
efridf,!(mp)~ make~ GO.DOWN(Verb)
ndo,we~ will~ KNOW(Verb)
eidfo,?~ >~ KNOW(Verb)
fngd,and~ we~ will~ make~ BE.FACE.TO.FACE(Verb)
flmfldtnf,and~ to~ KINDRED ~us
cal,he~ did~ INQUIRE(Verb)
jpnf,BABIES ~us
fesgtif,and~ I~ did~ make~ LEAVE.IN.PLACE(Verb) ~him
ebiatif,I~ did~ make~ COME(Verb) ~him
tbqcnf,you(ms)~ will~ much~ SEARCH.OUT(Verb) ~him
aorbnf,I~ will~ BARTER(Verb) ~him
cbnf,we~ did~ TURN.BACK(Verb)
etmemenf,203 we~ did~ self~ LINGER
lfla,UNLESS
fcqdim,and~ ALMOND
bjnim,PISTACHIO
dbc,HONEY
fmoj,and~ SMALL.AMOUNT
sri,BALM
fefridf,and~ !(mp)~ make~ GO.DOWN(Verb)
bklikm,in~ UTENSIL ~s ~you(mp)
mzmrt,from~ CHOICE.FRUIT
mcge,MISTAKE
tcibf,you(mp)~ will~ make~ TURN.BACK(Verb)
amthtikm,GRAIN.SACK ~s ~you(mp)
emfcb,the~ be~ make~ TURN.BACK(Verb) ~ing(ms)
mcne,DOUBLE
fqfmf,and~ !(mp)~ RISE(Verb)
cklti,I~ did~ BE.CHILDLESS(Verb)
rhmim,BOWELS ~s
itn,he~ will~ GIVE(Verb)
fiomdf,205 and~ they(m)~ will~ STAND(Verb)
fmcne,and~ DOUBLE
bserim,in~ the~ GLISTENING ~s2
fekn,and~ !(ms)~ make~ PREPARE(Verb)
fjbh,and~ !(ms)~ BUTCHER(Verb)
hmrinf,DONKEY ~s ~us
fletnpl,and~ to~ >~ self~ FALL(Verb)
letgll,to~ >~ self~ ROLL(Verb)
mfbaim,be~ make~ COME(Verb) ~ing(mp)
bamthtinf,in~ GRAIN.SACK ~s ~us
efbaf,they~ did~ be~ make~ COME(Verb)
irdnf,we~ did~ GO.DOWN(Verb)
bidnf,in~ HAND ~us
fncb,and~ we~ will~ make~ TURN.BACK(Verb)
bmcqlf,in~ WEIGHT ~him
amthtinf,GRAIN.SACK ~s ~us
fnpthe,and~ we~ will~ OPEN(Verb) ~&
emlfn,the~ PLACE.OF.LODGING
efrdnf,we~ did~ make~ GO.DOWN(Verb)
kxpkm,SILVER ~you(mp)
bamthtikm,in~ GRAIN.SACK ~s ~you(mp)
mjmfn,TREASURE
aleikm,Elohiym ~you(mp)
tiraf,you(mp)~ will~ FEAR(Verb)
lhmriem,to~ DONKEY ~s ~them(m)
rgliem,FOOT ~s2 ~them(m)
firhsf,and~ they(m)~ will~ BATHE(Verb)
fikinf,and~ they(m)~ will~ make~ PREPARE(Verb)
eofdnf,?~ YET.AGAIN ~him
amrtm,you(mp)~ did~ SAY(Verb)
ezqn,the~ BEARD
lclfm,to~ COMPLETENESS
fiqdf,and~ they(m)~ will~ BOW.THE.HEAD(Verb)
ihnk,he~ will~ PROVIDE.PROTECTION(Verb) ~you(ms)
ehdre,the~ CHAMBER ~unto
lbkft,to~ >~ WEEP(Verb)
fibqc,and~ he~ will~ much~ SEARCH.OUT(Verb)
rhmif,BOWELS ~s ~him
nkmrf,they~ will~ be~ BURN.BLACK(Verb)
cimf,!(mp)~ PLACE(Verb)
fitapq,and~ he~ will~ self~ HOLD.BACK(Verb)
firhs,and~ he~ will~ BATHE(Verb)
tfobe,DISGUSTING
ifklfn,they(m)~ will~ BE.ABLE(Verb) ~must
lbdm,to~ STRAND ~them(m)
eaklim,the~ EAT(Verb) ~ing(mp)
flmsrim,and~ to~ Mits'rayim ~s
fitmef,and~ they(m)~ will~ MARVEL(Verb)
ksortf,like~ YOUTHFULNESS ~him
fesoir,and~ the~ LITTLE.ONE
kbkrtf,like~ BIRTHRIGHT ~him
ebkr,the~ FIRSTBORN
fickrf,and~ they(m)~ will~ BE.DRUNK(Verb)
idft,HAND ~s
klm,ALL ~them(m)
mmcat,from~ UPRISING
mcat,UPRISING
ftrb,and~ she~ will~ INCREASE(Verb)
fcim,and~ !(ms)~ PLACE(Verb)
amtht,GRAIN.SACK ~s
gbio,BOWL
gbioi,BOWL ~me
fhmriem,and~ DONKEY ~s ~them(m)
clmtm,you(mp)~ did~ much~ MAKE.RESTITUTION(Verb)
fecgtm,and~ you(ms)~ did~ make~ OVERTAKE(Verb) ~them(m)
rdp,!(ms)~ PURSUE(Verb)
erhiqf,they~ did~ make~ BE.FAR(Verb)
inhc,he~ will~ much~ PREDICT(Verb)
nhc,>~ much~ PREDICT(Verb)
icte,he~ will~ GULP(Verb)
ficgm,and~ he~ will~ make~ OVERTAKE(Verb)
mocft,from~ >~ DO(Verb)
lobdik,to~ SERVANT ~s ~you(ms)
hlile,FAR.BE.IT
idbr,he~ will~ much~ SPEAK(Verb)
ngnb,we~ will~ STEAL(Verb)
ecibnf,we~ did~ make~ TURN.BACK(Verb)
fmt,and~ he~ did~ DIE(Verb)
mobdik,from~ SERVANT ~s ~you(ms)
imsa,he~ will~ be~ FIND(Verb)
nqim,INNOCENT ~s
kdbrikm,213 like~ WORD ~s ~you(mp)
fipthf,and~ they(m)~ will~ OPEN(Verb)
fifrdf,and~ they(m)~ will~ make~ GO.DOWN(Verb)
fimerf,and~ they(m)~ will~ much~ HURRY(Verb)
bamtht,in~ GRAIN.SACK
egbio,the~ BOWL
fbqjn,and~ in~ the~ SMALL
bgdfl,in~ the~ GREAT
eoire,the~ CITY ~unto
fiomx,and~ he~ will~ LOAD(Verb)
cmltm,APPAREL ~s ~them(m)
fiqrof,and~ they(m)~ will~ TEAR(Verb)
fahif,and~ BROTHER ~s ~him
kmni,like~ THAT.ONE ~me
idotm,you(mp)~ did~ KNOW(Verb)
emoce,the~ WORK
nmsa,he~ did~ be~ FIND(Verb)
ennf,LOOK ~us
nsjdq,we~ will~ self~ BE.STEADFAST(Verb)
ndbr,we~ will~ much~ SPEAK(Verb)
namr,we~ will~ SAY(Verb)
kproe,like~ Paroh
bobdk,in~ SERVANT ~you(ms)
apk,NOSE ~you(ms)
aebf,he~ did~ LOVE(Verb) ~him
qjn,SMALL
facime,and~ I~ will~ PLACE(Verb) ~&
fozb,and~ he~ did~ LEAVE(Verb)
lozb,to~ >~ LEAVE(Verb)
txpfn,you(mp)~ will~ make~ ADD(Verb) ~must
fahinf,and~ BROTHER ~us
firdnf,and~ we~ will~ GO.DOWN(Verb)
lrdt,to~ >~ GO.DOWN(Verb)
raitif,I~ did~ SEE(Verb) ~him
mati,from~ AT ~me
broe,in~ DYSFUNCTIONAL
fqref,and~ he~ did~ MEET(Verb) ~him
flqhtm,and~ you(mp)~ did~ TAKE(Verb)
qcfre,TIE(Verb) ~ed(fs)
fnpcf,and~ SOUL ~him
kbai,like~ >~ COME(Verb) ~me
cibt,GRAY-HEADED
kraftf,like~ >~ SEE(Verb) ~him
labi,to~ FATHER ~me
iol,he~ will~ GO.UP(Verb)
aole,I~ will~ GO.UP(Verb)
aik,HOW
betfdo,in~ >~ self~ KNOW(Verb)
efsiaf,!(mp)~ make~ GO.OUT(Verb)
ensbim,the~ be~ STAND.UP(Verb) ~ing(mp)
letapq,to~ >~ self~ HOLD.BACK(Verb)
bbki,in~ WEEPING
mpnif,from~ FACE ~s ~him
nbelf,they~ did~ be~ STIR(Verb)
lonft,to~ >~ ANSWER(Verb)
mkrtm,you(mp)~ did~ SELL(Verb)
gcf,!(mp)~ DRAW.NEAR(Verb)
lmhie,to~ REVIVING
tosbf,you(mp)~ will~ be~ DISTRESS(Verb)
hric,PLOWING
fofd,and~ YET.AGAIN
bqrb,in~ INSIDE
flehift,and~ to~ >~ make~ LIVE(Verb)
carit,REMNANT
lcfm,to~ >~ PLACE(Verb)
ficlhni,and~ he~ will~ SEND(Verb) ~me
fmcl,and~ REGULATE(Verb) ~ing(ms)
fladfn,and~ to~ LORD
ficimni,and~ he~ will~ PLACE(Verb) ~me
clhtm,you(mp)~ did~ SEND(Verb)
rde,!(ms)~ GO.DOWN(Verb) ~&
ladfn,to~ LORD
cmni,he~ did~ PLACE(Verb) ~me
folf,and~ !(mp)~ GO.UP(Verb)
merf,!(mp)~ much~ HURRY(Verb)
fbqrk,and~ CATTLE ~you(ms)
fsank,and~ FLOCKS ~you(ms)
qrfb,NEAR
gcn,Goshen
fbitk,and~ HOUSE ~you(ms)
tfrc,you(ms)~ will~ be~ POSSESS(Verb)
fklklti,and~ I~ did~ much~ SUSTAIN(Verb)
raft,SEE(Verb) ~ing(fp)
fmertm,and~ you(mp)~ did~ much~ HURRY(Verb)
raitm,you(mp)~ did~ SEE(Verb)
kbfdi,ARMAMENT ~me
fegdtm,and~ you(mp)~ did~ make~ BE.FACE.TO.FACE(Verb)
bke,he~ did~ WEEP(Verb)
sfari,BACK.OF.THE.NECK ~s
olem,UPON ~them(m)
ncmo,he~ will~ be~ HEAR(Verb)
feql,and~ the~ VOICE
boirkm,CATTLE ~you(mp)
jonf,!(mp)~ PACK(Verb)
hlb,FAT
faklf,and~ !(mp)~ EAT(Verb)
fbaf,and~ !(mp)~ COME(Verb)
fqhf,and~ !(mp)~ TAKE(Verb)
fbatm,and~ you(mp)~ did~ COME(Verb)
fncatm,and~ you(mp)~ did~ LIFT.UP(Verb)
flncikm,and~ to~ WOMAN ~s ~you(mp)
ljpkm,to~ BABIES ~you(mp)
oglft,CART ~s
sfite,you(ms)~ did~ be~ much~ DIRECT(Verb) ~&
klikm,UTENSIL ~s ~you(mp)
thx,you(ms)~ will~ SPARE(Verb)
foinkm,and~ EYE ~s2 ~you(mp)
cmlt,APPAREL ~s
hlpt,REPLACEMENT ~s
flbnimn,and~ to~ Binyamin
hlpft,REPLACEMENT ~s
fmzfn,and~ MEAT
flhm,and~ BREAD
ncat,LIFT.UP(Verb) ~ing(fp)
focr,and~ TEN
hmrim,DONKEY ~s
kzat,like~ THIS
flabif,and~ to~ FATHER ~him
trgzf,you(mp)~ will~ SHAKE(Verb)
eamin,he~ did~ make~ SECURE(Verb)
fipg,and~ he~ will~ BE.NUMB(Verb)
mcl,REGULATE(Verb) ~ing(ms)
eoglft,the~ CART ~s
faranf,and~ I~ will~ SEE(Verb) ~him
alke,I~ will~ WALK(Verb) ~&
lalei,to~ POWER ~s
zbhim,SACRIFICE ~s
bare,and~ he~ will~ COME(Verb)
bmrat,in~ REFLECTION ~s
licral,to~ Yisra'eyl
acimk,I~ will~ PLACE(Verb) ~you(ms)
mrde,from~ >~ GO.DOWN(Verb)
icit,he~ will~ SET.DOWN(Verb)
aolk,I~ will~ make~ GO.UP(Verb) ~you(ms)
boglft,in~ the~ CART ~s
fkrmi,and~ Karmi
fhsrn,and~ Hhetsron
fplfa,and~ Palu
eknonit,the~ Kena'an ~s
fcafl,and~ Sha'ul
fshr,and~ Tsohhar
fikin,and~ Yakhin
faed,and~ Ohad
fimin,and~ Yamin
imfal,Yemu'el
fmrri,and~ Merari
qet,Qehat
grcfn,Gershon
fhmfl,and~ Hhamul
hsrn,Hhetsron
fafnn,and~ Onan
fprs,and~ Perets
fcle,and~ Sheylah
fcmrn,and~ Shimron
fifb,and~ Yov
fpfe,and~ Pu'a
tflo,Tola
fihlal,and~ Yahh'le'el
falfn,and~ Eylon
xrd,Sered
fbnftif,and~ DAUGHTER ~s ~him
farali,and~ Areliy
farfdi,and~ Arodiy
fasbn,and~ Etsbon
cfni,Shuni
fhgi,and~ Hhagi
spifn,Tsiphyon
fmlkial,and~ Malki'el
hbr,Hhever
brioe,Beri'ah
fcrh,and~ Serahh
fbrioe,and~ Beri'ah
ficfi,and~ Yishwiy
ficfe,and~ Yishwah
fard,and~ Ard
fhpim,and~ Hhupim
mpim,Mupim
frac,and~ Rosh
fnomn,and~ Na'aman
gra,Gera
facbl,and~ Ashbeyl
fbkr,and~ Bekher
fclm,Hhush ~s
fgfni,and~ SON ~s
ihsal,
gcne,Ya'aqov
lefrt,the~ SOUL
mrkbtf,
ofdk,BACK.OF.THE.NECK ~s ~him
rafti,UPON
amfte,and~ he~ will~ be~ SEE(Verb)
fbit,AFTER
fagide,Yisra'eyl
fbqrm,WHICH
fsanm,FATHER ~me
mocikm,they~ did~ make~ COME(Verb)
tfobt,to~ ~you(mp)
abtinf,
mnofrinf,
fisgm,and~ he~ will~ make~ LEAVE.IN.PLACE(Verb) ~them(m)
fmqse,and~ from~ EXTREMITY
abftinf,FATHER ~s ~us
icbf,they(m)~ will~ SETTLE(Verb)
lsan,to~ the~ FLOCKS
mroe,FEEDING.PLACE
fcmtm,and~ you(mp)~ did~ PLACE(Verb) ~them(m)
hil,FORCE
fic,and~ THERE.IS
bmijb,in~ BEST
fiomdef,and~ he~ will~ make~ STAND(Verb) ~him
kme,like~ WHAT
abti,FATHER ~s ~me
ecigf,they~ did~ make~ OVERTAKE(Verb)
froim,and~ DYSFUNCTIONAL ~s
romxx,Ra'meses
ahze,HOLDINGS
fifcb,and~ he~ will~ make~ SETTLE(Verb)
ejp,the~ BABIES
fiklkl,and~ he~ will~ SUSTAIN(Verb)
cbrim,EXCHANGE(Verb) ~ing(mp)
bcbr,in~ the~ GRAIN.SEEDS
fbars,and~ in~ LAND
filqj,and~ he~ will~ much~ PICK.UP(Verb)
apx,he~ did~ COME.TO.AN.END(Verb)
ngdk,OPPOSITE ~you(ms)
fitm,and~ he~ will~ BE.WHOLE(Verb)
bmqnikm,in~ LIVESTOCK ~you(mp)
mqnikm,LIVESTOCK ~you(mp)
ebf,!(mp)~ PROVIDE(Verb)
blhm,in~ the~ BREAD
finelm,and~ he~ will~ much~ LEAD(Verb) ~them(m)
fbhmrim,and~ in~ the~ DONKEY ~s
fbmqne,and~ in~ LIVESTOCK
bxfxim,in~ the~ HORSE ~s
fadmtnf,and~ GROUND ~us
gfitnf,BODY ~us
madni,from~ LORD ~me
nkhd,we~ will~ much~ KEEP.SECRET(Verb)
ecne,the~ YEAR
fttm,and~ she~ will~ BE.WHOLE(Verb)
tcm,she~ will~ DESOLATE(Verb)
feadme,and~ the~ GROUND
ftn,and~ !(ms)~ GIVE(Verb)
fneie,and~ we~ will~ EXIST(Verb)
admtnf,GROUND ~us
loinik,to~ EYE ~s2 ~you(ms)
admt,GROUND
qsef,EXTREMITY ~him
lorim,to~ CITY ~s
eobir,he~ did~ make~ CROSS.OVER(Verb)
admtm,GROUND ~them(m)
hqm,CUSTOM ~them(m)
lkenim,220 to~ the~ ADMINISTRATOR ~s
hq,CUSTOM
ekenim,the~ ADMINISTRATOR ~s
fzrotm,and~ you(mp)~ did~ SOW(Verb)
ea,LO
admtkm,GROUND ~you(mp)
flakl,and~ to~ >~ EAT(Verb)
bbtikm,in~ HOUSE ~s ~you(mp)
flacr,and~ to~ the~ WHICH
flaklkm,and~ to~ >~ EAT(Verb) ~you(mp)
lzro,to~ SEED
eidt,the~ HAND ~s
hmicit,FIFTH
fnttm,and~ you(mp)~ did~ GIVE(Verb)
btbfat,in~ the~ PRODUCTION
ehitnf,you(ms)~ did~ make~ LIVE(Verb) ~us
lhmc,to~ the~ FIFTH.PART
lhq,to~ CUSTOM
fiprf,and~ they(m)~ will~ REPRODUCE(Verb)
fiahzf,and~ they(m)~ will~ be~ TAKE.HOLD(Verb)
hiif,LIVING ~s ~him
tqbrni,you(ms)~ will~ BURY(Verb) ~me
fiqrbf,and~ they(m)~ will~ COME.NEAR(Verb)
bqbrtm,in~ BURIAL.PLACE ~them(m)
fqbrtni,and~ you(ms)~ did~ BURY(Verb) ~me
fncatni,and~ you(ms)~ did~ LIFT.UP(Verb) ~me
fckbti,and~ I~ did~ LIE.DOWN(Verb)
emje,the~ BED
hle,BE.SICK(Verb) ~ing(ms)
fithzq,and~ he~ will~ self~ SEIZE(Verb)
blfz,in~ Luz
nrae,he~ did~ be~ SEE(Verb)
ferbitk,and~ I~ did~ make~ INCREASE(Verb) ~you(ms)
mprk,make~ REPRODUCE(Verb) ~ing(ms) ~you(ms)
krafbn,like~ Re'uven
fmnce,and~ Menasheh
enfldim,the~ be~ BRING.FORTH(Verb) ~ing(mp)
bnhltm,in~ INHERITANCE ~them(m)
iqraf,they(m)~ will~ be~ CALL.OUT(Verb)
ahiem,BROTHER ~s ~them(m)
efldt,you(ms)~ did~ make~ BRING.FORTH(Verb)
fmfldtk,and~ KINDRED ~you(ms)
aprt,in~ ROAD
lba,LAND
bbai,and~ I
fabrkm,and~ I~ will~ much~ KNEEL(Verb) ~them(m)
qhm,!(ms)~ TAKE(Verb) ~them(m)
mzqn,from~ AGE
kbdf,they~ did~ BE.HEAVY(Verb)
pllti,I~ did~ much~ PLEAD(Verb)
lapif,to~ NOSE ~s ~him
brkif,KNEE ~s ~him
mimin,from~ RIGHT.HAND
bcmalf,in~ LEFT.HAND
biminf,in~ RIGHT.HAND ~him
ckl,he~ did~ much~ CALCULATE(Verb)
cmalf,LEFT.HAND ~him
esoir,the~ LITTLE.ONE
iminf,RIGHT.HAND ~him
mofdi,from~ YET.AGAIN ~me
etelkf,they~ did~ self~ WALK(Verb)
fidgf,and~ they(m)~ will~ AMPLIFY(Verb)
cmi,TITLE ~me
egal,the~ REDEEM(Verb) ~ing(ms)
emlak,the~ MESSENGER
lexir,to~ >~ make~ TURN.ASIDE(Verb)
fitmk,and~ he~ will~ UPHOLD(Verb)
racf,HEAD ~him
imink,RIGHT.HAND ~you(ms)
fzrof,and~ SEED ~him
fkmnce,and~ like~ Menasheh
kaprim,like~ Ephrayim
icmk,he~ will~ PLACE(Verb) ~you(ms)
lamfr,to~ >~ SAY(Verb)
fibrkm,and~ he~ will~ much~ KNEEL(Verb) ~them(m)
abtikm,FATHER ~s ~you(mp)
fecib,and~ he~ did~ make~ TURN.BACK(Verb)
fbqcti,and~ in~ BOW ~me
bhrbi,in~ SWORD ~me
lqhti,I~ did~ TAKE(Verb)
bahrit,in~ END
eaxpf,!(mp)~ be~ GATHER(Verb)
fcmof,and~ !(mp)~ HEAR(Verb)
eqbsf,!(mp)~ be~ GATHER.TOGETHER(Verb)
oz,STRONG
fitr,and~ REMAINDER
itr,REMAINDER
fracit,and~ ORIGIN
bkri,FIRSTBORN ~me
isfoi,COUCH ~me
hllt,you(ms)~ did~ much~ DRILL(Verb)
mckbi,LYING.PLACE ~s
olit,you(ms)~ did~ GO.UP(Verb)
tftr,you(ms)~ will~ make~ LEAVE.BEHIND(Verb)
kmim,like~ the~ WATER ~s2
phz,RECKLESS
mkrtiem,CAVE ~s ~them(m)
oqrf,they~ did~ PLUCK.UP(Verb)
fbrsnm,and~ in~ SELF-WILL ~them(m)
bapm,in~ NOSE ~them(m)
kbdi,ARMAMENT ~me
thd,she~ will~ UNITE(Verb)
bqelm,in~ ASSEMBLY ~them(m)
tba,you(ms)~ will~ COME(Verb)
fapism,and~ I~ will~ make~ SCATTER.ABROAD(Verb) ~them(m)
bioqb,in~ Ya'aqov
ahlqm,I~ will~ much~ DISTRIBUTE(Verb) ~them(m)
qcte,she~ did~ BE.HARD(Verb)
fobrtm,and~ WRATH ~them(m)
apm,NOSE ~them(m)
icthff,they(m)~ will~ self~ BEND.DOWN(Verb)
aibik,ATTACK(Verb) ~ing(mp) ~s ~you(ms)
borp,in~ NECK
ifdfk,they(m)~ will~ make~ THROW.THE.HAND(Verb) ~you(ms)
iqimnf,he~ will~ make~ RISE(Verb) ~him
fklbia,and~ like~ LIONESS
karie,like~ LION
kro,he~ did~ STOOP(Verb)
mjrp,from~ PREY
arie,LION
iqet,OBEDIENCE
flf,222 and~ to~ ~him
cile,TRANQUILITY
iba,he~ will~ COME(Verb)
mbin,from~ BETWEEN
fmhqq,and~ much~ INSCRIBE(Verb) ~ing(ms)
miefde,from~ Yehudah
cbj,STAFF
ixfr,he~ will~ TURN.ASIDE(Verb)
xfte,COAT ~her
fbdm,and~ in~ BLOOD
lbcf,CLOTHING ~him
biin,in~ the~ WINE
kbx,he~ did~ much~ WASH(Verb)
flcrqe,223 and~ to~ the~ CHOICE.VINE
oire,COLT ~him
lgpn,to~ GRAPEVINE
axri,TIE.UP(Verb) ~ing(ms) ~me
mhlb,from~ FAT
miin,from~ WINE
hklili,DULL.RED
firktf,and~ FLANK ~him
anit,SHIP ~s
lhfp,to~ SHORE
zbfln,Zevulun
emcptim,the~ SADDLEBAG ~s
grm,CARTILAGE
lmx,to~ TASK.WORK
lxbl,to~ >~ CARRY(Verb)
ckmf,SHOULDER ~him
cbji,STAFF ~s
idin,he~ will~ MODERATE(Verb)
ahfr,BACK
rkbf,RIDE(Verb) ~ing(ms) ~him
xfx,HORSE
oqbi,HEEL ~s
enck,the~ BITE(Verb) ~ing(ms)
cpipn,ADDER
qfiti,I~ did~ much~ BOUND.UP(Verb)
licfotk,to~ RELIEF ~you(ms)
igd,he~ will~ INVADE(Verb)
igfdnf,he~ will~ INVADE(Verb) ~us
gdfd,BAND
modni,TASTY.FOOD
lhmf,BREAD ~him
macr,from~ Asher
cpr,BRIGHT
entn,the~ GIVE(Verb) ~ing(ms)
aile,DOE
sode,she~ did~ MARCH(Verb)
hsim,ARROW ~s
ficjmef,and~ they(m)~ will~ HOLD.A.GRUDGE(Verb) ~him
fimrref,and~ they(m)~ will~ BE.BITTER(Verb) ~him
abir,VALIANT
zroi,ARM ~s
fipzf,and~ they(m)~ will~ REFINE(Verb)
qctf,BOW ~him
baitn,in~ CONSISTENCY
frhm,and~ BOWELS
cdim,BREAST ~s2
rbst,STRETCH.OUT(Verb) ~ing(fs)
fibrkk,and~ he~ will~ much~ KNEEL(Verb) ~you(ms)
fiozrk,and~ he~ will~ HELP(Verb) ~you(ms)
mal,from~ MIGHTY.ONE
nzir,DEDICATED
flqdqd,and~ to~ TOP.OF.THE.HEAD
lrac,to~ HEAD
gbot,KNOLL ~s
taft,YEARNING
efri,CONCEIVE(Verb) ~ing(mp) ~me
cll,SPOIL
ihlq,he~ will~ DISTRIBUTE(Verb)
florb,and~ to~ the~ EVENING
ijrp,he~ will~ TEAR.INTO.PIECES(Verb)
zab,WOLF
kbrktf,like~ PRESENT ~him
fzat,and~ THIS
emore,the~ CAVE
naxp,we~ will~ GATHER(Verb)
qbrti,I~ did~ BURY(Verb)
lsft,to~ >~ much~ DIRECT(Verb)
fihnjf,and~ they(m)~ will~ RIPEN(Verb)
lhnj,to~ >~ RIPEN(Verb)
ehnjim,the~ RIPEN(Verb) ~ed(mp)
imlaf,225 they(m)~ will~ FILL(Verb)
bkitf,TIME.OF.WEEPING ~him
facfbe,and~ I~ will~ TURN.BACK(Verb) ~&
kriti,I~ did~ DIG(Verb)
bqbri,in~ GRAVE ~me
ecbioni,he~ did~ make~ SWEAR(Verb) ~me
ecbiok,he~ did~ make~ SWEAR(Verb) ~you(ms)
fqbr,and~ !(ms)~ BURY(Verb)
zqni,BEARD ~s
ozbf,they~ did~ LEAVE(Verb)
prcim,HORSEMAN ~s
rkb,VEHICLE
fkbd,and~ HEAVY
mxpd,LAMENTING
fixpdf,and~ they(m)~ will~ LAMENT(Verb)
eajd,Goren-Ha'atad
grn,UNTIL
bgrn,AT
eabl,the~ Kena'an ~of
sfm,he~ did~ much~ DIRECT(Verb) ~them(m)
bmort,in~ CAVE
gmlnf,we~ did~ YIELD(Verb)
icib,he~ will~ make~ TURN.BACK(Verb)
